_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Bobby Portis,PRA,GOBLIN,OVER,18.5,35.49860196757585,16.99860196757585,OVER,True,0.9999760433859034,1,rotowire,0.0299992813015771
Bobby Portis,PRA,STANDARD,OVER,21.5,35.49860196757585,13.998601967575851,OVER,True,0.9998229967805695,1,rotowire,0.029994689903417086
Bobby Portis,PRA,DEMON,OVER,24.5,35.49860196757585,10.998601967575851,OVER,True,0.9986928523977642,1,rotowire,0.029960785571932925
Bobby Portis,PR,STANDARD,OVER,19.5,31.976591093669413,12.476591093669413,OVER,True,0.9995118190079436,1,rotowire,0.029985354570238307
Bobby Portis,PTS,STANDARD,OVER,12.5,20.866806454666744,8.366806454666744,OVER,True,0.9924672663360365,1,rotowire,0.029774017990081097
Bobby Portis,PTS,DEMON,OVER,14.5,20.866806454666744,6.366806454666744,OVER,True,0.9717208626041354,1,rotowire,0.02915162587812406
Bobby Portis,PTS,GOBLIN,OVER,9.5,20.866806454666744,11.366806454666744,OVER,True,0.9989772245399546,1,rotowire,0.02996931673619864
Bobby Portis,RA,DEMON,OVER,11.5,14.63179551290911,3.1317955129091093,OVER,True,0.7794359682746608,1,rotowire,0.023383079048239823
Bobby Portis,RA,GOBLIN,OVER,7.5,14.63179551290911,7.131795512909109,OVER,True,0.982921909142079,1,rotowire,0.02948765727426237
Bobby Portis,RA,STANDARD,OVER,8.5,14.63179551290911,6.131795512909109,OVER,True,0.9670034536830571,1,rotowire,0.02901010361049171
Bobby Portis,REB,GOBLIN,OVER,5.5,11.10978463900267,5.609784639002671,OVER,True,0.9535876151796643,1,rotowire,0.028607628455389927
Bobby Portis,REB,STANDARD,OVER,6.5,11.10978463900267,4.609784639002671,OVER,True,0.9115464044892865,1,rotowire,0.027346392134678592
Bobby Portis,REB,DEMON,OVER,9.5,11.10978463900267,1.6097846390026707,OVER,True,0.4904060928640091,1,rotowire,0.014712182785920272
Brandin Podziemski,AST,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
Brandin Podziemski,AST,STANDARD,UNDER,4.5,,,,False,0.0,0,,0.0
Brandin Podziemski,AST,DEMON,OVER,7.5,,,,False,0.0,0,,0.0
Brandin Podziemski,FG3M,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
Brandin Podziemski,FG3M,DEMON,OVER,4.5,,,,False,0.0,0,,0.0
Brandin Podziemski,PA,GOBLIN,OVER,19.5,21.78959482242095,2.2895948224209484,OVER,True,0.6429569486510359,1,rotowire,0.019288708459531078
Brandin Podziemski,PA,STANDARD,UNDER,21.0,21.78959482242095,0.7895948224209484,OVER,False,0.0,0,rotowire,0.0
Brandin Podziemski,PA,DEMON,OVER,29.5,21.78959482242095,-7.710405177579052,UNDER,False,0.0,0,rotowire,0.0
Brandin Podziemski,PRA,GOBLIN,OVER,25.5,28.30888163276558,2.80888163276558,OVER,True,0.7335148369108411,1,rotowire,0.02200544510732523
Brandin Podziemski,PRA,STANDARD,UNDER,26.5,28.30888163276558,1.80888163276558,OVER,False,0.0,0,rotowire,0.0
Brandin Podziemski,PRA,DEMON,OVER,28.5,28.30888163276558,-0.1911183672344201,UNDER,False,0.0,0,rotowire,0.0
